Bacillus_AO alkalicellulosilyticus		Bacteria	Species
Bacillus_AO bogoriensis		Bacteria	Species
Bacillus_AO sp022812285		Bacteria	Species
Bacillus_AT mannanilyticus		Bacteria	Species
Bacillus_AV solimangrovi		Bacteria	Species
Bacillus_AV sp020524525		Bacteria	Species
Bacillus_AZ campisalis		Bacteria	Species
Bacillus_AZ foraminis		Bacteria	Species
Bacillus_AZ maritimus		Bacteria	Species
Bacillus_AZ maritimus_A		Bacteria	Species
Bacillus_AZ mediterraneensis		Bacteria	Species
Bacillus_AZ persicus		Bacteria	Species
Bacillus_AZ sp001273925		Bacteria	Species
Bacillus_AZ sp016879755		Bacteria	Species
Bacillus_AZ zeae		Bacteria	Species
Bacillus_BA abyssalis		Bacteria	Species
Bacillus_BA sp000504165		Bacteria	Species
Bacillus_BB sp001884825		Bacteria	Species
Bacillus_BB thermozeamaize		Bacteria	Species
Bacillus_BD benzoevorans		Bacteria	Species
Bacillus_BD endozanthoxylica		Bacteria	Species
Bacillus_BD sp024494465		Bacteria	Species
Bacillus_BD tuaregi		Bacteria	Species
Bacillus_BE massilionigeriensis		Bacteria	Species
Bacillus_BF oleivorans		Bacteria	Species
Bacillus_BF sp022808645		Bacteria	Species
Bacillus_BJ canaveralius		Bacteria	Species
Bacillus_BJ sp002860165		Bacteria	Species
Bacillus_BK kwashiorkori		Bacteria	Species
Bacillus_BL marinisedimentorum		Bacteria	Species
Bacillus_BL sp016841765		Bacteria	Species
Bacillus_BM salacetis		Bacteria	Species
Bacillus_BM sp000181495		Bacteria	Species
Bacillus_BM sp003316765		Bacteria	Species
Bacillus_BM vietnamensis_A		Bacteria	Species
Bacillus_BM vietnamensis_B		Bacteria	Species
Bacillus_BN acanthi		Bacteria	Species
Bacillus_BN alkalitolerans		Bacteria	Species
Bacillus_BN tepidiphilus		Bacteria	Species
Bacillus_BQ marisflavi_A		Bacteria	Species
Bacillus_BR caeni		Bacteria	Species
Bacillus_BS mesophilus		Bacteria	Species
Bacillus_BS sp008364785		Bacteria	Species
Bacillus_BS sp023036475		Bacteria	Species
Bacillus_BS suaedaesalsae		Bacteria	Species
Bacillus_BT aquiflavi		Bacteria	Species
Bacillus_BU marasmi		Bacteria	Species
